Date,Open,High,Low,Close,Shares Traded,Turnover,DoD_Return_%,ATR_14,MACD,MACD_Signal,CCI_20
2026-05-18,11205.85,11206.55,11071.45,11162.5,80965481,3482.33,-0.7839512208129285,195.18827646349024,31.051957286885226,103.93459349820914,-167.73114883080436
2026-05-19,11189.7,11276.25,11161.05,11180.7,105931496,4851.0,0.16304591265399182,189.47482814466957,10.410431492629868,85.2297610970933,-127.86824830463388
2026-05-20,11127.1,11378.9,11074.9,11359.0,99817058,3948.69,1.5947123167601163,197.65519756290746,8.3430203262742,69.85241294292949,-90.91546455586632
2026-05-21,11395.85,11431.75,11339.6,11377.55,113211988,5069.38,0.16330662910466476,190.11911202269974,8.10794866800461,57.503520087944516,-41.38769178780763
2026-05-22,11366.8,11415.2,11319.55,11372.3,81902087,2870.16,-0.04614350189627858,183.37131830679272,7.412574022147965,47.485330874785205,-44.596869701369435
2026-05-25,11512.35,11561.15,11483.95,11524.6,120103920,3757.56,1.3392189794500853,183.76265271345042,18.932578797934184,41.774780459415,13.959349088590475
2026-05-26,11502.6,11576.2,11480.65,11515.6,109516205,5562.76,-0.07809381670513815,177.46174894820405,27.024518963600713,38.82472816025214,12.877314131094709
2026-05-27,11486.1,11507.1,11394.7,11484.15,138051651,8136.33,-0.27310778422314774,173.4216240233323,30.547554489821778,37.16929342616607,-9.517545665462292
2026-05-29,11586.75,11604.6,11137.65,11200.25,294928203,14945.21,-2.4721028548042256,194.38793659309434,10.312353782561331,31.797905497445125,-66.684437084215
2026-06-01,11257.65,11290.75,11148.5,11159.1,94281500,4772.18,-0.36740251333675644,190.66379826501617,-8.94157672919755,23.65000905211659,-108.04850741693399
2026-06-02,11084.15,11170.95,11034.25,11138.9,100218170,5932.11,-0.1810181824699164,186.8092412460865,-25.536062722976567,13.81279469709796,-137.23923073065535
2026-06-03,11129.85,11174.15,11056.65,11130.8,86408629,4994.21,-0.07271813195198762,181.85858115708032,-38.89258522268574,3.2717187131412206,-124.06652803320817
2026-06-04,11066.7,11183.9,11065.7,11159.4,92033304,5333.81,0.25694469400223685,177.31153964586022,-46.632395326754704,-6.709104094837965,-106.77069679379154
2026-06-05,11172.8,11188.75,11080.05,11106.2,73708656,4322.25,-0.4767281395056999,172.4107153854417,-56.40880044730329,-16.649043365331032,-104.05704232529877
2026-06-08,11009.0,11043.7,10906.1,10931.7,67153943,3778.68,-1.5711944679548395,174.38852142933874,-77.34576969619775,-28.788388631504375,-166.16158897336743
2026-06-09,10983.45,11011.15,10901.75,10965.3,80037061,4829.34,0.30736299020279745,169.74648418438593,-90.18760292884872,-41.06823149097325,-143.2343788635865
2026-06-10,10968.35,11066.55,10788.2,10803.0,101273444,5584.09,-1.4801236628272707,177.5038781712154,-112.16809787832062,-55.288204768442725,-150.69391077939113
2026-06-11,10775.05,10818.8,10740.55,10779.1,143651213,8065.8,-0.22123484217346778,170.4143154447,-130.0175671649049,-70.23407724773517,-169.27356360231147
2026-06-12,10888.35,11039.1,10791.85,11012.3,142412323,6777.67,2.1634459277676044,176.81329291293574,-123.91766341889524,-80.97079448196719,-94.11993826827118
2026-06-15,11250.0,11257.05,11162.15,11180.6,144535207,6465.6,1.528291092687284,181.66591484772604,-104.3007284222349,-85.63678127002073,7.538727443267983
2026-06-16,11234.5,11311.55,11180.35,11294.6,91711430,4792.06,1.0196232760316892,178.06120664431697,-78.64870552260254,-84.2391661205371,30.20557602929373
2026-06-17,11334.3,11358.3,11271.45,11303.95,83172301,3590.43,0.08278292281267419,171.5461204554371,-56.9088162932876,-78.77309615508722,46.519900328251296
2026-06-18,11319.25,11341.6,11240.05,11303.65,76938926,4038.23,-0.0026539395521107956,166.5463975657631,-39.251537651594845,-70.86878445438875,39.47651518799594
2026-06-19,11287.95,11295.8,11135.35,11169.75,90648756,5154.11,-1.1845731246101887,166.67165488249427,-35.65165794483801,-63.8253591524786,6.450891021020274
2026-06-22,11237.15,11324.75,11193.65,11273.05,66426415,3670.47,0.9248192663219745,165.83796524803037,-24.18449683048675,-55.89718668808023,35.59559772354644
2026-06-23,11293.65,11306.95,11149.55,11171.3,70369767,3649.6,-0.9025951273169186,165.23525344459972,-23.04145610749947,-49.326040571964086,21.12543828380532
2026-06-24,11168.85,11279.25,11131.4,11241.6,74874326,3215.62,0.6292911299490722,163.99344962712834,-16.27535347715275,-42.71590315300182,35.364876914188166
2026-06-25,11305.0,11315.7,11116.0,11143.3,113736114,4959.38,-0.874430686023353,166.54391751090495,-18.63039724565897,-37.89880197153325,32.062052680608794
2026-06-29,11101.05,11124.35,10963.7,11012.05,123572208,5331.54,-1.1778378038821535,167.47649483155448,-30.733290258072884,-36.46569962884118,-50.01360622162237
2026-06-30,11040.85,11069.2,10952.25,11030.25,94451873,4207.0,0.16527349585226947,163.8674594864435,-38.41352506542535,-36.85526471615802,-52.52215336791846
2026-07-01,11058.45,11097.8,11011.95,11084.15,59481908,2658.84,0.48865619546247796,158.2947838088403,-39.69332697927166,-37.422877168780744,-24.190744860550183
2026-07-02,11088.5,11170.6,11068.25,11132.5,89617376,4571.93,0.43620845982776935,154.29872782249458,-36.38669512283559,-37.215640759591714,7.925519520025626
2026-07-03,11191.05,11192.15,11119.45,11136.2,57728011,2867.28,0.033236020660232235,148.47024726374488,-33.08620925100877,-36.38975445787513,21.34713678582198
2026-07-06,11149.9,11287.3,11105.3,11261.1,69248776,3028.89,1.1215675005836756,150.86522960204883,-20.159774915518938,-33.14375854940389,54.37018456730218
2026-07-07,11287.65,11327.95,11214.85,11248.9,91748676,4249.18,-0.10833755139374457,148.1677132019025,-10.775704995514388,-28.67014783862599,72.9962601811727
2026-07-08,11157.75,11177.95,10962.25,10998.55,151846936,6321.14,-2.225550942758847,158.0593051160523,-23.27165357675949,-27.59044898625269,-49.851708172285434
2026-07-09,11026.5,11109.1,10969.05,11032.85,78371478,3855.72,0.31185929054284856,156.77292617919147,-30.06054031617714,-28.08446725223758,-64.36747649208333
2026-07-10,11113.3,11201.35,11094.5,11177.45,52649959,2836.5,1.310631432494791,157.61057430924922,-23.50185567821427,-27.16794493743292,-2.0913299481313277
2026-07-13,11106.6,11192.5,11085.8,11176.55,67244660,3150.89,-0.008051925975971486,153.97410471573147,-18.167252549574187,-25.367806459861175,-16.82900176146579
2026-07-14,11135.9,11158.05,11078.45,11102.4,86189346,4085.53,-0.6634426544864014,149.98309723603626,-19.69578568184079,-24.2334023042571,-46.23771204950206
2026-07-15,11120.75,11221.9,11118.45,11178.85,77757009,3354.41,0.6885898544458868,147.80573314774796,-14.57032547855124,-22.30078693911593,10.290426538831815
2026-07-16,11196.2,11298.25,11172.4,11188.15,90064449,4657.18,0.08319281500333009,146.2374664943374,-9.646727593028118,-19.76997506989837,61.12334013934987
2026-07-17,11200.9,11311.05,11155.45,11298.65,71119425,4232.58,0.9876521140671057,146.90621888759892,3.135541150251811,-15.188871825868333,100.53227315405137
2026-07-20,11247.1,11408.9,11236.8,11369.05,84602527,4461.98,0.623083288711479,148.70577468134186,18.73036092176517,-8.405025276341632,161.2208066725422
2026-07-21,11369.15,11409.5,11304.35,11311.95,70208672,3510.8,-0.5022407325150136,145.59464791838886,26.18008739891411,-1.488002741290484,152.81839579938557
2026-07-22,11306.95,11307.4,11194.3,11243.15,73966507,3613.21,-0.6082063658343739,143.59860163850405,26.230100024609783,4.05561781188957,68.00295225886724
2026-07-23,11177.5,11232.7,11106.55,11128.5,88183022,4677.23,-1.0197320146044464,143.09870152146806,16.82449624104447,6.60939349772055,-7.892851293438057
2026-07-24,11071.1,11105.0,10986.65,11077.0,62740598,2914.58,-0.46277575594194653,143.00950855564892,5.155439188494711,6.318602635875383,-85.80302743481352
2026-07-27,11153.0,11171.2,11052.4,11079.1,73744090,2905.91,0.01895820167916451,141.28025794453123,-3.878214504396965,4.279239207820914,-52.851707162695334
2026-07-28,11067.95,11095.9,11019.15,11067.85,68007844,2843.59,-0.10154254406946617,136.67095380563615,-11.809103129833602,1.0615707402900108,-91.63424153417907
2026-07-29,11104.95,11110.25,11035.25,11076.3,53815252,2486.5,0.07634725804921416,132.26588567666212,-17.214111561388563,-2.593565720045704,-80.89246440041784
2026-07-30,11087.25,11162.5,11060.9,11127.75,61728126,3467.68,0.46450529508952343,130.0754652711863,-17.148359061193332,-5.50452438827523,-41.8126501677405
2026-07-31,11146.35,11265.85,11090.75,11247.7,88817222,3236.52,1.077935791152762,133.29150346610157,-7.332759705643184,-5.8701714517488215,30.60635928887029
2026-08-03,11312.4,11358.2,11265.65,11357.4,99329786,3638.95,0.9753105079260527,131.66353893280862,9.192086053897583,-2.8577199506195403,125.96858110840039
2026-08-04,11342.6,11342.8,11196.75,11226.3,67722023,3025.37,-1.1543134872417982,133.734000437608,11.576029756626667,0.029029990829700925,68.40814559651346
2026-08-05,11308.1,11321.95,11163.2,11216.05,100221410,5330.1,-0.09130345706065413,135.52085754920742,12.494207532192377,2.5220654991022364,44.440799285267
